,Title,Company,Location,Salary
1,"('Programmer (Data Scientist)',)","('PT SCG Readymix Indonesia',)","('Jakarta Selatan (Jakarta Raya) - Graha Mobisel',)",Above Expected Salary
2,"('Programmer PHP',)","('PT. Metrodata Electronics, Tbk',)","('Jakarta Raya',)",Above Expected Salary
3,"('IT Senior JAVA Developer Programmer - (Java Dev Sr.) Yogyakarta',)","('PT Sarana Yukti Bandhana',)","('Jakarta Selatan (Jakarta Raya), Yogyakarta',)","IDR 7,000,000 - 12,000,000"
4,"('IT Senior JAVA Developer / Programmer - (Java Dev Sr.) JAKARTA',)","('PT Sarana Yukti Bandhana',)","('Jakarta Selatan (Jakarta Raya), Yogyakarta',)","IDR 10,000,000 - 15,000,000"
5,"('Programmer Front End Developer',)","('PT. Digital Animasi Asia',)","('Tangerang (Banten) - Gading Serpong',)","IDR 7,000,000 - 12,000,000"
6,"('Programmer',)","('Company Confidential',)","('Jakarta Raya - Jakarta Selatan',)","IDR 5,000,000 - 8,000,000"
7,"('IT Programmer',)","('PT Jababeka, Tbk',)","('Cikarang (Jawa Barat)',)",Above Expected Salary
8,"('Programmer',)","('PT Inet Global Indo',)","('Jakarta Raya',)","IDR 4,300,000 - 5,590,000"
9,"('IT PROGRAMMER',)","('PT Pandurasa Kharisma',)","('Jakarta Utara (Jakarta Raya) - Sunter',)",Above Expected Salary
10,"('Programmer Laravel',)","('PT Bhakti Adikarya Buana Abadi',)","('Jakarta Raya',)","IDR 3,500,000 - 4,550,000"
11,"('.NET Web Developer - Programmer (C#, VB.NET, ASP.NET, MVC)',)","('PT Kamoro Maxima Integra',)","('Jakarta Barat (Jakarta Raya)',)",Above Expected Salary
12,"('WEB PROGRAMMER',)","('PT Duta Daya Digital',)","('Jakarta Barat (Jakarta Raya), Tangerang (Banten)',)",Above Expected Salary
13,"('Senior Programmer .Net (Site : Rumbai)',)","('PT. Metrodata Electronics, Tbk',)","('Pekanbaru (Riau) - Rumbai',)",Above Expected Salary
14,"('IT Programmer',)","('Company Confidential',)","('Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary
15,"('Frontend Programmer',)","('Suteki Technology',)","('Jawa Barat - Bandung',)","IDR 5,000,000 - 10,000,000"
16,"('Java Programmer',)","('Erajaya Group',)","('Jakarta Barat (Jakarta Raya) - Erajaya Gedong Panjang',)",Above Expected Salary
17,"('IT Java Programmer',)","('PT Asuransi Jiwa Sinarmas MSIG',)","('Jakarta Raya - Sinarmas MSIG Tower, Sudirman Jakarta Pusat',)",Above Expected Salary
18,"('Programmer ASP VB.NET',)","('CV Bona Artha Solusindo',)","('Jakarta Raya',)",Above Expected Salary
19,"('Staf IT Programmer',)","('Kisel (Koperasi Telekomunikasi Selular)',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary
20,"('Programmer',)","('PT Dua Putra Utama Makmur Tbk',)","('Kudus (Jawa Tengah) - Pati',)",Above Expected Salary
